"","time","long","lat","fh","sst"
"864","2017-08-13",-124,38,11.4580555555556,27.6575002670288
"865","2017-08-13",-127,41,2.27513888888889,26.2375001907349
"866","2017-08-13",-126,41,30.1252777777778,25.8725004196167
"867","2017-08-13",-125,41,180.211388888889,25.697500705719
"868","2017-08-13",-128,42,11.7463888888889,26.1149997711182
"869","2017-08-13",-127,42,10.2870833333333,25.7824997901917
"870","2017-08-13",-126,42,1.53305555555556,25.5700001716614
"871","2017-08-13",-125,42,28.3675,25.4150004386902
"872","2017-08-13",-129,43,71.0581944444445,26.414999961853
"873","2017-08-13",-128,43,91.6094444444444,26.0399994850159
"874","2017-08-13",-126,43,29.4493055555556,25.4549999237061
"875","2017-08-13",-125,43,725.827222222222,25.1449999809265
"876","2017-08-13",-128,44,7.70236111111111,26.1174998283386
"877","2017-08-13",-126,44,4.53541666666667,25.375
"878","2017-08-13",-125,44,148.258611111111,24.8424997329712
"879","2017-08-13",-127,45,10.7704166666667,25.8975005149841
"880","2017-08-13",-126,45,18.1626388888889,25.4675002098083
"881","2017-08-13",-125,45,150.711944444444,24.6924996376038
"882","2017-08-13",-128,46,2.23652777777778,26.1025004386902
"883","2017-08-13",-127,46,41.52125,25.9050006866455
"884","2017-08-13",-126,46,127.197361111111,25.4925003051758
"885","2017-08-13",-125,46,744.328611111111,24.4900002479553
"886","2017-08-13",-124,46,0.106805555555556,23.4150004386902
"887","2017-08-13",-127,47,26.4891666666667,25.6975002288818
"888","2017-08-13",-126,47,336.954027777778,25.0650005340576
"889","2017-08-13",-125,47,305.453611111111,23.9125003814697
"890","2017-08-13",-126,48,498.773333333333,24.0600004196167
"891","2017-08-13",-125,48,66.8141666666667,23.0300002098083
"892","2017-08-20",-120,32,5.06986111111111,26.6975002288818
"893","2017-08-20",-119,32,10.9636111111111,26.2575001716614
"894","2017-08-20",-119,33,9.02805555555556,25.8025002479553
"895","2017-08-20",-118,33,7.04541666666667,25.3825001716614
"896","2017-08-20",-121,34,2.25833333333333,26.3124995231628
"897","2017-08-20",-120,34,1.45805555555556,25.7674999237061
"898","2017-08-20",-122,35,67.1461111111111,26.5999999046326
"899","2017-08-20",-123,36,18.6554166666667,26.9975004196167
"900","2017-08-20",-122,36,13.6395833333333,26.1050004959106
"901","2017-08-20",-124,37,43.1481944444444,27.352499961853
"902","2017-08-20",-123,37,127.543611111111,26.4825005531311
"903","2017-08-20",-125,38,1.87291666666667,27.9749999046326
"904","2017-08-20",-124,38,64.8048611111111,26.8175001144409
"905","2017-08-20",-125,41,96.9872222222222,25.039999961853
"906","2017-08-20",-125,42,73.2354166666667,24.7099995613098
"907","2017-08-20",-129,43,18.3466666666667,25.2925000190735
"908","2017-08-20",-128,43,15.4756944444444,24.9724998474121
"909","2017-08-20",-126,43,13.4090277777778,24.6024994850159
"910","2017-08-20",-125,43,258.961527777778,24.324999332428
"911","2017-08-20",-128,44,423.467083333333,24.7325000762939
"912","2017-08-20",-127,44,22.0913888888889,24.5374999046326
"913","2017-08-20",-126,44,10.2759722222222,24.2299995422363
"914","2017-08-20",-125,44,154.845,23.8599996566772
"915","2017-08-20",-128,45,14.39875,24.4974999427795
"916","2017-08-20",-127,45,6.94166666666667,24.3249998092651
"917","2017-08-20",-126,45,20.0740277777778,24.0474996566772
"918","2017-08-20",-125,45,265.685833333333,23.5499997138977
"919","2017-08-20",-127,46,8.08347222222222,24.3099999427795
"920","2017-08-20",-126,46,59.0638888888889,24.0099997520447
"921","2017-08-20",-125,46,1068.80180555556,23.289999961853
"922","2017-08-20",-124,46,0.507361111111111,22.4500002861023
"923","2017-08-20",-128,47,16.8568055555556,24.3200001716614
"924","2017-08-20",-126,47,106.2825,23.6824998855591
"925","2017-08-20",-125,47,192.189166666667,22.7825002670288
"926","2017-08-20",-126,48,530.477777777778,22.8150000572205
"927","2017-08-20",-125,48,119.570277777778,22.0050001144409
"928","2017-08-27",-120,32,17.7331944444444,26.7925000190735
"929","2017-08-27",-119,32,52.4904166666667,26.3299999237061
"930","2017-08-27",-119,33,17.3420833333333,25.8575000762939
"931","2017-08-27",-118,33,4.45083333333333,25.4050002098083
"932","2017-08-27",-121,34,3.05125,26.3674998283386
"933","2017-08-27",-120,34,0.982222222222222,25.8274998664856
"934","2017-08-27",-123,36,12.5193055555556,26.9175000190735
